AIRPORT,Year,Month,Domestic_In,Domestic_Out,Domestic_Total,International_In,International_Out,International_Total,Pax_In,Pax_Out,Pax_Total
DARWIN,1985,9,14892,16833,31725,1901,1916,3817,16793,18749,35542
GOLD COAST,1985,9,30340,45305,75645,0,0,0,30340,45305,75645
HAMILTON ISLAND,1985,9,2175,3049,5224,0,0,0,2175,3049,5224
HOBART,1985,9,22617,21661,44278,729,525,1254,23346,22186,45532
KARRATHA,1985,9,8919,8930,17849,0,0,0,8919,8930,17849
LAUNCESTON,1985,9,25567,25349,50916,0,0,0,25567,25349,50916
MACKAY,1985,9,8799,9495,18294,0,0,0,8799,9495,18294
MELBOURNE,1985,9,245101,222696,467797,62602,41145,103747,307703,263841,571544
PERTH,1985,9,65556,62651,128207,25371,20212,45583,90927,82863,173790
ROCKHAMPTON,1985,9,20212,20654,40866,0,0,0,20212,20654,40866
SUNSHINE COAST,1985,9,3525,4752,8277,0,0,0,3525,4752,8277
SYDNEY,1985,9,292544,284823,577367,123879,103618,227497,416423,388441,804864
TOWNSVILLE,1985,9,45118,47448,92566,956,1041,1997,46074,48489,94563
NEWCASTLE,1985,9,6213,6067,12280,0,0,0,6213,6067,12280
ADELAIDE,1985,10,88607,80708,169315,5286,2970,8256,93893,83678,177571
ALICE SPRINGS,1985,10,22631,22829,45460,0,0,0,22631,22829,45460
All Australian Airports,1985,10,1254244,1254244,2508488,249262,178319,427581,1503506,1432563,2936069
BALLINA,1985,10,0,0,0,0,0,0,0,0,0
BRISBANE,1985,10,131128,125462,256590,23452,17953,41405,154580,143415,297995
CAIRNS,1985,10,21746,22420,44166,2928,1471,4399,24674,23891,48565
CANBERRA,1985,10,46382,46590,92972,0,0,0,46382,46590,92972
DARWIN,1985,10,13975,15367,29342,1940,1743,3683,15915,17110,33025
GOLD COAST,1985,10,31629,33954,65583,0,0,0,31629,33954,65583
HAMILTON ISLAND,1985,10,2567,2396,4963,0,0,0,2567,2396,4963
HOBART,1985,10,19739,18958,38697,587,374,961,20326,19332,39658
KARRATHA,1985,10,8374,8370,16744,0,0,0,8374,8370,16744
LAUNCESTON,1985,10,23369,23080,46449,0,0,0,23369,23080,46449
MACKAY,1985,10,8641,8773,17414,0,0,0,8641,8773,17414
MELBOURNE,1985,10,223269,226136,449405,58200,35929,94129,281469,262065,543534
PERTH,1985,10,58061,58706,116767,24289,16178,40467,82350,74884,157234
ROCKHAMPTON,1985,10,19659,19606,39265,0,0,0,19659,19606,39265
SUNSHINE COAST,1985,10,3704,3841,7545,0,0,0,3704,3841,7545
SYDNEY,1985,10,288941,297506,586447,130501,99867,230368,419442,397373,816815
TOWNSVILLE,1985,10,45357,45607,90964,1123,1014,2137,46480,46621,93101
NEWCASTLE,1985,10,6425,6356,12781,0,0,0,6425,6356,12781
ADELAIDE,1985,11,83986,88134,172120,4903,4107,9010,88889,92241,181130
ALICE SPRINGS,1985,11,21311,21604,42915,0,0,0,21311,21604,42915
All Australian Airports,1985,11,1213429,1213429,2426858,233980,211234,445214,1447409,1424663,2872072
BALLINA,1985,11,0,0,0,0,0,0,0,0,0
BRISBANE,1985,11,118299,115681,233980,19550,19013,38563,137849,134694,272543
CAIRNS,1985,11,20196,20825,41021,3230,2229,5459,23426,23054,46480
CANBERRA,1985,11,45677,45907,91584,0,0,0,45677,45907,91584
DARWIN,1985,11,12314,12983,25297,1418,1679,3097,13732,14662,28394
GOLD COAST,1985,11,27995,30604,58599,0,0,0,27995,30604,58599
HAMILTON ISLAND,1985,11,2364,2476,4840,0,0,0,2364,2476,4840
HOBART,1985,11,19822,18914,38736,472,610,1082,20294,19524,39818
KARRATHA,1985,11,8952,9304,18256,0,0,0,8952,9304,18256
LAUNCESTON,1985,11,23660,22905,46565,0,0,0,23660,22905,46565
MACKAY,1985,11,8568,8799,17367,0,0,0,8568,8799,17367
MELBOURNE,1985,11,226237,227000,453237,52209,42466,94675,278446,269466,547912
PERTH,1985,11,59586,57470,117056,23092,19499,42591,82678,76969,159647
ROCKHAMPTON,1985,11,17190,17477,34667,0,0,0,17190,17477,34667
SUNSHINE COAST,1985,11,3384,3454,6838,0,0,0,3384,3454,6838
SYDNEY,1985,11,283000,277449,560449,127508,119780,247288,410508,397229,807737
TOWNSVILLE,1985,11,40173,40860,81033,712,930,1642,40885,41790,82675
NEWCASTLE,1985,11,5815,5817,11632,0,0,0,5815,5817,11632
ADELAIDE,1985,12,78000,79883,157883,5027,5377,10404,83027,85260,168287
ALICE SPRINGS,1985,12,20944,21666,42610,0,0,0,20944,21666,42610
All Australian Airports,1985,12,1221294,1221294,2442588,243329,273435,516764,1464623,1494729,2959352
BALLINA,1985,12,0,0,0,0,0,0,0,0,0
BRISBANE,1985,12,126004,121589,247593,25054,26399,51453,151058,147988,299046
CAIRNS,1985,12,20963,20486,41449,2195,1845,4040,23158,22331,45489
CANBERRA,1985,12,37152,38867,76019,0,0,0,37152,38867,76019
DARWIN,1985,12,13764,18331,32095,1735,2935,4670,15499,21266,36765
GOLD COAST,1985,12,35914,30160,66074,0,0,0,35914,30160,66074
HAMILTON ISLAND,1985,12,2368,1740,4108,0,0,0,2368,1740,4108
HOBART,1985,12,25607,20533,46140,770,1048,1818,26377,21581,47958
KARRATHA,1985,12,8693,10703,19396,0,0,0,8693,10703,19396
LAUNCESTON,1985,12,29782,24993,54775,0,0,0,29782,24993,54775
MACKAY,1985,12,8567,8548,17115,0,0,0,8567,8548,17115
MELBOURNE,1985,12,209291,226957,436248,52122,61521,113643,261413,288478,549891
PERTH,1985,12,74240,63658,137898,24710,26475,51185,98950,90133,189083
ROCKHAMPTON,1985,12,17096,17456,34552,0,0,0,17096,17456,34552
SUNSHINE COAST,1985,12,4477,3575,8052,0,0,0,4477,3575,8052
SYDNEY,1985,12,269631,275378,545009,129870,145423,275293,399501,420801,820302
TOWNSVILLE,1985,12,39808,41305,81113,874,1461,2335,40682,42766,83448
NEWCASTLE,1985,12,6299,6324,12623,0,0,0,6299,6324,12623
ADELAIDE,1986,1,83677,83327,167004,6341,5521,11862,90018,88848,178866
ALICE SPRINGS,1986,1,23522,22710,46232,0,0,0,23522,22710,46232
All Australian Airports,1986,1,1274458,1274458,2548916,292576,237224,529800,1567034,1511682,3078716
BALLINA,1986,1,0,0,0,0,0,0,0,0,0
BRISBANE,1986,1,127544,127290,254834,29020,22622,51642,156564,149912,306476
CAIRNS,1986,1,21522,22376,43898,2725,2392,5117,24247,24768,49015
CANBERRA,1986,1,34837,31877,66714,0,0,0,34837,31877,66714
DARWIN,1986,1,18003,14746,32749,3082,1905,4987,21085,16651,37736
GOLD COAST,1986,1,38902,48323,87225,0,0,0,38902,48323,87225
HAMILTON ISLAND,1986,1,2541,3274,5815,0,0,0,2541,3274,5815
HOBART,1986,1,24666,31070,55736,734,601,1335,25400,31671,57071
KARRATHA,1986,1,9631,8833,18464,0,0,0,9631,8833,18464
LAUNCESTON,1986,1,30215,34865,65080,0,0,0,30215,34865,65080
MACKAY,1986,1,8456,8700,17156,0,0,0,8456,8700,17156
MELBOURNE,1986,1,234422,217107,451529,65598,51261,116859,300020,268368,568388
PERTH,1986,1,69281,76877,146158,28384,24512,52896,97665,101389,199054
ROCKHAMPTON,1986,1,17321,17325,34646,0,0,0,17321,17325,34646
SUNSHINE COAST,1986,1,4563,5165,9728,0,0,0,4563,5165,9728
SYDNEY,1986,1,282619,273340,555959,154218,126337,280555,436837,399677,836514
TOWNSVILLE,1986,1,42868,41945,84813,1613,1015,2628,44481,42960,87441
NEWCASTLE,1986,1,6387,6361,12748,0,0,0,6387,6361,12748
ADELAIDE,1986,2,76173,71699,147872,5204,3761,8965,81377,75460,156837
ALICE SPRINGS,1986,2,18822,18412,37234,0,0,0,18822,18412,37234
All Australian Airports,1986,2,1085561,1085561,2171122,223688,188004,411692,1309249,1273565,2582814
BALLINA,1986,2,0,0,0,0,0,0,0,0,0
BRISBANE,1986,2,100702,100509,201211,18519,17159,35678,119221,117668,236889
CAIRNS,1986,2,15868,15667,31535,1657,1605,3262,17525,17272,34797
CANBERRA,1986,2,39808,39836,79644,0,0,0,39808,39836,79644
DARWIN,1986,2,10136,10347,20483,1593,1194,2787,11729,11541,23270
GOLD COAST,1986,2,24507,30899,55406,0,0,0,24507,30899,55406
HAMILTON ISLAND,1986,2,1680,1665,3345,0,0,0,1680,1665,3345
HOBART,1986,2,20471,20796,41267,902,669,1571,21373,21465,42838
KARRATHA,1986,2,7376,7643,15019,0,0,0,7376,7643,15019
LAUNCESTON,1986,2,25293,24002,49295,0,0,0,25293,24002,49295
MACKAY,1986,2,7534,7672,15206,0,0,0,7534,7672,15206
MELBOURNE,1986,2,208981,205823,414804,51836,39152,90988,260817,244975,505792
PERTH,1986,2,55041,53598,108639,22103,18410,40513,77144,72008,149152
ROCKHAMPTON,1986,2,14570,14581,29151,0,0,0,14570,14581,29151
SUNSHINE COAST,1986,2,2598,2734,5332,0,0,0,2598,2734,5332
SYDNEY,1986,2,252839,255922,508761,120361,104724,225085,373200,360646,733846
TOWNSVILLE,1986,2,30630,30780,61410,735,707,1442,31365,31487,62852
NEWCASTLE,1986,2,5351,5324,10675,0,0,0,5351,5324,10675
ADELAIDE,1986,3,87624,88288,175912,5466,5979,11445,93090,94267,187357
ALICE SPRINGS,1986,3,25573,24760,50333,0,0,0,25573,24760,50333
All Australian Airports,1986,3,1232739,1232739,2465478,225416,241557,466973,1458155,1474296,2932451
BALLINA,1986,3,0,0,0,0,0,0,0,0,0
BRISBANE,1986,3,118788,117880,236668,21789,21054,42843,140577,138934,279511
CAIRNS,1986,3,21727,20466,42193,2105,2088,4193,23832,22554,46386
CANBERRA,1986,3,44111,44365,88476,0,0,0,44111,44365,88476
DARWIN,1986,3,12190,12573,24763,1374,1605,2979,13564,14178,27742
GOLD COAST,1986,3,31725,32350,64075,0,0,0,31725,32350,64075
HAMILTON ISLAND,1986,3,2536,2300,4836,0,0,0,2536,2300,4836
HOBART,1986,3,22195,23075,45270,811,652,1463,23006,23727,46733
KARRATHA,1986,3,7954,8064,16018,0,0,0,7954,8064,16018
LAUNCESTON,1986,3,27532,27659,55191,0,0,0,27532,27659,55191
MACKAY,1986,3,8958,8594,17552,0,0,0,8958,8594,17552
MELBOURNE,1986,3,224458,228375,452833,43523,48894,92417,267981,277269,545250
PERTH,1986,3,57686,58448,116134,21815,22514,44329,79501,80962,160463
ROCKHAMPTON,1986,3,17660,17756,35416,0,0,0,17660,17756,35416
